"","ID1","ID2","ID3","ID4","ID5","Kills","Time","Win","Gold","Killspermin","Goldpermin","Assists","Intensity","Assistspermin","Region","IndegCent","OutdegCent"
"1",0,3,0,6,1,10,22.2166666666667,0,35825,0.450112528132033,1612.52813203301,13,1.3,0.585146286571643,"Europe",0.1,0.6
"2",3,1,0,0,0,4,15.1833333333333,0,21295,0.26344676180022,1402.52469813392,5,1.25,0.329308452250274,"Europe",0.166666666666667,0.5
"3",8,6,0,3,4,21,30.9166666666667,0,58082,0.679245283018868,1878.66307277628,37,1.76190476190476,1.19676549865229,"Europe",0.05,0.3
"4",10,2,2,6,11,31,30.2,1,60380,1.02649006622517,1999.33774834437,69,2.2258064516129,2.28476821192053,"Europe",0.1,0.1
"5",1,9,2,1,1,14,26.7166666666667,0,44679,0.524017467248908,1672.32688708671,20,1.42857142857143,0.748596381784155,"Europe",0.4,0.4
"6",1,6,10,4,7,28,37.8,1,75435,0.740740740740741,1995.63492063492,44,1.57142857142857,1.16402116402116,"Europe",0.2,0.2
"7",1,1,0,0,3,5,16,0,22833,0.3125,1427.0625,3,0.6,0.1875,"Europe",0.0833333333333333,0.416666666666667
"8",7,4,8,2,4,25,29.7333333333333,0,50037,0.840807174887892,1682.85874439462,40,1.6,1.34529147982063,"Europe",0.25,0.25
"9",8,1,6,0,3,18,24.4,0,43848,0.737704918032787,1797.04918032787,18,1,0.737704918032787,"Europe",0.1,0.6
"10",2,1,4,2,0,9,20.1666666666667,0,32889,0.446280991735537,1630.85950413223,6,0.666666666666667,0.297520661157025,"Europe",0.5,0.25
"11",6,8,7,10,5,36,28.1166666666667,1,60018,1.28037937166568,2134.60580912863,46,1.27777777777778,1.63604030823948,"Europe",0.15,0.15
"12",1,6,8,3,3,21,23.6833333333333,1,46934,0.886699507389163,1981.73117522871,17,0.80952380952381,0.71780436312456,"Europe",0.4,0.15
"13",2,0,0,1,3,6,20.7666666666667,0,35351,0.28892455858748,1702.29534510433,5,0.833333333333333,0.240770465489567,"Europe",0.05,0.3
"14",7,1,7,1,6,22,32.8833333333333,0,55212,0.669031931069437,1679.02686264572,54,2.45454545454545,1.64216928535226,"Europe",0.2,0.2
"15",5,4,1,7,9,26,29.1833333333333,0,51228,0.890919474585951,1755.38549400343,36,1.38461538461538,1.23358081096516,"Europe",0.2,0.2
"16",3,5,4,4,2,18,25.15,0,43266,0.715705765407555,1720.31809145129,22,1.22222222222222,0.874751491053678,"Europe",0.3,0.3
"17",3,5,5,10,1,24,22.6666666666667,0,41326,1.05882352941176,1823.20588235294,36,1.5,1.58823529411765,"Europe",0.2,0.2
"18",9,9,4,3,2,27,26.4166666666667,1,54955,1.02208201892744,2080.31545741325,35,1.2962962962963,1.32492113564669,"Europe",0.15,0.15
"19",1,2,10,8,2,23,29.6833333333333,0,56758,0.774845592363841,1912.11678832117,44,1.91304347826087,1.48231330713083,"Europe",0.25,0.25
